"inches"	"specimen"	"megacycles"
"151"	1.06	13	0.05
"152"	1.1	13	0.06
"153"	1.14	13	0.07
"154"	1.2	13	0.08
"155"	1.26	13	0.09
"156"	1.31	13	0.1
"157"	1.4	13	0.11
"158"	1.52	13	0.12
"159"	0.9	14	0
"160"	0.93	14	0.01
"161"	0.96	14	0.02
"162"	1	14	0.03
"163"	1.03	14	0.04
"164"	1.07	14	0.05
"165"	1.12	14	0.06
"166"	1.16	14	0.07
"167"	1.2	14	0.08
"168"	1.26	14	0.09
"169"	1.3	14	0.1
"170"	1.37	14	0.11
"171"	1.45	14	0.12
"172"	0.9	15	0
"173"	0.92	15	0.01
"174"	0.96	15	0.02
"175"	0.99	15	0.03
"176"	1.03	15	0.04
"177"	1.06	15	0.05
"178"	1.1	15	0.06
"179"	1.16	15	0.07
"180"	1.21	15	0.08
"181"	1.27	15	0.09
"182"	1.33	15	0.1
"183"	1.4	15	0.11
"184"	1.49	15	0.12
"185"	0.9	16	0
"186"	0.92	16	0.01
"187"	0.95	16	0.02
"188"	0.97	16	0.03
"189"	1	16	0.04
"190"	1.03	16	0.05
"191"	1.07	16	0.06
"192"	1.11	16	0.07
"193"	1.16	16	0.08
"194"	1.22	16	0.09
"195"	1.26	16	0.1
"196"	1.33	16	0.11
"197"	1.4	16	0.12
"198"	0.9	17	0
"199"	0.93	17	0.01
"200"	0.96	17	0.02
"201"	0.97	17	0.03
"202"	1	17	0.04
"203"	1.05	17	0.05
"204"	1.08	17	0.06
"205"	1.11	17	0.07
"206"	1.16	17	0.08
"207"	1.2	17	0.09
"208"	1.24	17	0.1
"209"	1.32	17	0.11
"210"	1.38	17	0.12
"211"	0.9	18	0
"212"	0.92	18	0.01
"213"	0.94	18	0.02
"214"	0.97	18	0.03
"215"	1.01	18	0.04
"216"	1.04	18	0.05
"217"	1.07	18	0.06
"218"	1.09	18	0.07
"219"	1.14	18	0.08
"220"	1.19	18	0.09
"221"	1.23	18	0.1
"222"	1.28	18	0.11
"223"	1.35	18	0.12
"224"	0.9	19	0
"225"	0.92	19	0.01
"226"	0.94	19	0.02
"227"	0.97	19	0.03
"228"	0.99	19	0.04
"229"	1.02	19	0.05
"230"	1.05	19	0.06
"231"	1.08	19	0.07
"232"	1.12	19	0.08
"233"	1.16	19	0.09
"234"	1.2	19	0.1
"235"	1.25	19	0.11
"236"	1.31	19	0.12
"237"	0.9	20	0
"238"	0.92	20	0.01
"239"	0.94	20	0.02
"240"	0.97	20	0.03
"241"	0.99	20	0.04
"242"	1.02	20	0.05
"243"	1.05	20	0.06
"244"	1.08	20	0.07
"245"	1.12	20	0.08
"246"	1.16	20	0.09
"247"	1.19	20	0.1
"248"	1.24	20	0.11
"249"	1.29	20	0.12
"250"	0.9	21	0
"251"	0.92	21	0.01
"252"	0.94	21	0.02
"253"	0.97	21	0.03
"254"	0.99	21	0.04
"255"	1.02	21	0.05
"256"	1.04	21	0.06
"257"	1.07	21	0.07
"258"	1.11	21	0.08
"259"	1.14	21	0.09
"260"	1.18	21	0.1
"261"	1.22	21	0.11
"262"	1.27	21	0.12
