"powerdrop"	"device"	"hours"	"celsius"
"204"	-0.0525	107	625	150
"205"	-0.077261	107	750	150
"206"	-0.088892	107	875	150
"207"	-0.096695	107	1000	150
"208"	-0.113813	107	1125	150
"209"	-0.121901	107	1250	150
"210"	-0.131491	107	1375	150
"211"	-0.142345	107	1500	150
"212"	-0.14783	107	1625	150
"213"	-0.170941	107	1750	150
"214"	-0.18064	107	1875	150
"215"	-0.189825	107	2000	150
"216"	-0.197581	107	2125	150
"217"	-0.206794	107	2250	150
"218"	-0.213146	107	2375	150
"219"	-0.220102	107	2500	150
"220"	-0.231253	107	2625	150
"221"	-0.240209	107	2750	150
"222"	-0.247423	107	2875	150
"223"	-0.259413	107	3000	150
"224"	-0.266891	107	3125	150
"225"	-0.279424	107	3250	150
"226"	-0.288318	107	3375	150
"227"	-0.294026	107	3500	150
"228"	-0.30582	107	3625	150
"229"	-0.312232	107	3750	150
"230"	-0.322271	107	3875	150
"231"	-0.328525	107	4000	150
"232"	0	108	0	195
"233"	-0.0774	108	125	195
"234"	-0.1731	108	250	195
"235"	-0.3039	108	375	195
"236"	-0.3949	108	500	195
"237"	-0.4888	108	625	195
"238"	-0.5274	108	750	195
"239"	-0.5719	108	875	195
"240"	-0.6326	108	1000	195
"241"	-0.6889	108	1125	195
"242"	-0.7356	108	1250	195
"243"	-0.7709	108	1375	195
"244"	-0.7954	108	1500	195
"245"	-0.8251	108	1625	195
"246"	-0.8619	108	1750	195
"247"	-0.8837	108	1875	195
"248"	-0.9092	108	2000	195
"249"	0	109	0	195
"250"	-0.1912	109	125	195
"251"	-0.344	109	250	195
"252"	-0.4449	109	375	195
"253"	-0.5101	109	500	195
"254"	-0.5926	109	625	195
"255"	-0.6596	109	750	195
"256"	-0.7348	109	875	195
"257"	-0.8034	109	1000	195
"258"	-0.8775	109	1125	195
"259"	-0.9534	109	1250	195
"260"	-0.9897	109	1375	195
"261"	-1.0346	109	1500	195
"262"	-1.0664	109	1625	195
"263"	-1.095	109	1750	195
"264"	-1.1211	109	1875	195
"265"	-1.1592	109	2000	195
"266"	0	110	0	195
"267"	-0.1029	110	125	195
"268"	-0.154	110	250	195
"269"	-0.2378	110	375	195
"270"	-0.2986	110	500	195
"271"	-0.3483	110	625	195
"272"	-0.4025	110	750	195
"273"	-0.4622	110	875	195
"274"	-0.497	110	1000	195
"275"	-0.5325	110	1125	195
"276"	-0.5866	110	1250	195
"277"	-0.6482	110	1375	195
"278"	-0.6781	110	1500	195
"279"	-0.7053	110	1625	195
"280"	-0.7977	110	1750	195
"281"	-0.8432	110	1875	195
"282"	-0.8595	110	2000	195
"283"	0	111	0	195
"284"	-0.1082	111	125	195
"285"	-0.1895	111	250	195
"286"	-0.2808	111	375	195
"287"	-0.3259	111	500	195
"288"	-0.3761	111	625	195
"289"	-0.4355	111	750	195
"290"	-0.5032	111	875	195
"291"	-0.5807	111	1000	195
"292"	-0.6534	111	1125	195
"293"	-0.6865	111	1250	195
"294"	-0.7294	111	1375	195
"295"	-0.773	111	1500	195
"296"	-0.8059	111	1625	195
"297"	-0.8318	111	1750	195
"298"	-0.8604	111	1875	195
"299"	-0.9178	111	2000	195
"300"	0	112	0	195
"301"	-0.06316	112	125	195
"302"	-0.1405	112	250	195
"303"	-0.17988	112	375	195
"304"	-0.29242	112	500	195
"305"	-0.34089	112	625	195
"306"	-0.41142	112	750	195
"307"	-0.48182	112	875	195
"308"	-0.51747	112	1000	195
"309"	-0.56419	112	1125	195
"310"	-0.63249	112	1250	195
"311"	-0.67518	112	1375	195
"312"	-0.71175	112	1500	195
"313"	-0.75338	112	1625	195
"314"	-0.78566	112	1750	195
"315"	-0.8224	112	1875	195
"316"	-0.83951	112	2000	195
"317"	0	113	0	195
"318"	-0.0709	113	125	195
"319"	-0.1763	113	250	195
"320"	-0.2293	113	375	195
"321"	-0.3817	113	500	195
"322"	-0.4351	113	625	195
"323"	-0.5144	113	750	195
"324"	-0.5753	113	875	195
"325"	-0.6887	113	1000	195
"326"	-0.7176	113	1125	195
"327"	-0.7612	113	1250	195
"328"	-0.8091	113	1375	195
"329"	-0.8342	113	1500	195
"330"	-0.8738	113	1625	195
"331"	-0.924	113	1750	195
"332"	-0.9574	113	1875	195
"333"	-0.9785	113	2000	195
"334"	0	114	0	195
"335"	-0.127	114	125	195
"336"	-0.2158	114	250	195
"337"	-0.3022	114	375	195
"338"	-0.3638	114	500	195
"339"	-0.4123	114	625	195
"340"	-0.4633	114	750	195
"341"	-0.5011	114	875	195
"342"	-0.5476	114	1000	195
"343"	-0.5806	114	1125	195
"344"	-0.6374	114	1250	195
"345"	-0.7319	114	1375	195
"346"	-0.7559	114	1500	195
"347"	-0.7686	114	1625	195
"348"	-0.8116	114	1750	195
"349"	-0.8528	114	1875	195
"350"	-0.8792	114	2000	195
"351"	0	115	0	195
"352"	-0.09407	115	125	195
"353"	-0.2116	115	250	195
"354"	-0.26705	115	375	195
"355"	-0.38084	115	500	195
"356"	-0.43089	115	625	195
"357"	-0.50236	115	750	195
"358"	-0.56991	115	875	195
"359"	-0.62273	115	1000	195
"360"	-0.66264	115	1125	195
"361"	-0.75612	115	1250	195
"362"	-0.79289	115	1375	195
"363"	-0.80796	115	1500	195
"364"	-0.8392	115	1625	195
"365"	-0.87104	115	1750	195
"366"	-0.90785	115	1875	195
"367"	-0.96871	115	2000	195
"368"	0	116	0	195
"369"	-0.04159	116	125	195
"370"	-0.10748	116	250	195
"371"	-0.13539	116	375	195
"372"	-0.16748	116	500	195
"373"	-0.20998	116	625	195
"374"	-0.25676	116	750	195
"375"	-0.33851	116	875	195
"376"	-0.39372	116	1000	195
"377"	-0.43292	116	1125	195
"378"	-0.47093	116	1250	195
"379"	-0.50662	116	1375	195
"380"	-0.54778	116	1500	195
"381"	-0.59682	116	1625	195
"382"	-0.6345	116	1750	195
"383"	-0.66159	116	1875	195
"384"	-0.69239	116	2000	195
"385"	0	117	0	195
"386"	-0.1658	117	125	195
"387"	-0.2809	117	250	195
"388"	-0.3777	117	375	195
"389"	-0.4728	117	500	195
"390"	-0.5516	117	625	195
"391"	-0.6911	117	750	195
"392"	-0.7556	117	875	195
"393"	-0.8575	117	1000	195
"394"	-0.9819	117	1125	195
"395"	-1.0097	117	1250	195
"396"	-1.0667	117	1375	195
"397"	-1.1218	117	1500	195
"398"	-1.1443	117	1625	195
"399"	-1.1789	117	1750	195
"400"	-1.2041	117	1875	195
"401"	-1.2192	117	2000	195
"402"	0	118	0	195
"403"	-0.1198	118	125	195
"404"	-0.2121	118	250	195
"405"	-0.2467	118	375	195
"406"	-0.3028	118	500	195
"407"	-0.3423	118	625	195
"408"	-0.3706	118	750	195
"409"	-0.4216	118	875	195
"410"	-0.468	118	1000	195
"411"	-0.5252	118	1125	195
"412"	-0.5692	118	1250	195
"413"	-0.6057	118	1375	195
"414"	-0.6393	118	1500	195
"415"	-0.6667	118	1625	195
"416"	-0.7087	118	1750	195
"417"	-0.76	118	1875	195
"418"	-0.7958	118	2000	195
"419"	0	119	0	195
"420"	-0.1131	119	125	195
"421"	-0.2444	119	250	195
"422"	-0.3556	119	375	195
"423"	-0.4726	119	500	195
"424"	-0.6794	119	625	195
"425"	-0.7485	119	750	195
"426"	-0.7915	119	875	195
"427"	-0.8343	119	1000	195
"428"	-0.8677	119	1125	195
"429"	-0.9114	119	1250	195
"430"	-0.9514	119	1375	195
"431"	-0.9778	119	1500	195
"432"	-1.0018	119	1625	195
"433"	-1.0531	119	1750	195
"434"	-1.0834	119	1875	195
"435"	-1.1206	119	2000	195
"436"	0	120	0	237
"437"	-0.4658	120	125	237
"438"	-0.7612	120	250	237
"439"	-1.0309	120	375	237
"440"	-1.0827	120	500	237
"441"	-1.1588	120	625	237
"442"	-1.2613	120	750	237
"443"	-1.2992	120	875	237
"444"	-1.3414	120	1000	237
"445"	0	121	0	237
"446"	-0.6755	121	125	237
"447"	-0.8281	121	250	237
"448"	-1.0878	121	375	237
"449"	-1.2073	121	500	237
"450"	-1.3005	121	625	237
"451"	-1.3589	121	750	237
"452"	-1.3923	121	875	237
"453"	-1.4423	121	1000	237
"454"	0	122	0	237
"455"	-0.1913	122	125	237
"456"	-0.3362	122	250	237
"457"	-0.5462	122	375	237
"458"	-0.7019	122	500	237
"459"	-0.7695	122	625	237
"460"	-0.8362	122	750	237
"461"	-0.9008	122	875	237
"462"	-0.9409	122	1000	237
"463"	0	123	0	237
"464"	-0.2598	123	125	237
"465"	-0.3664	123	250	237
"466"	-0.6362	123	375	237
"467"	-0.751	123	500	237
"468"	-0.9251	123	625	237
"469"	-1.0197	123	750	237
"470"	-1.1086	123	875	237
"471"	-1.1762	123	1000	237
"472"	0	124	0	237
"473"	-0.1569	124	125	237
"474"	-0.2883	124	250	237
"475"	-0.4237	124	375	237
"476"	-0.5549	124	500	237
"477"	-0.6984	124	625	237
"478"	-0.7759	124	750	237
"479"	-0.842	124	875	237
"480"	-0.9019	124	1000	237
"481"	0	125	0	237
"482"	-0.3893	125	125	237
"483"	-0.583	125	250	237
"484"	-0.7736	125	375	237
"485"	-0.9821	125	500	237
"486"	-1.0517	125	625	237
"487"	-1.1755	125	750	237
"488"	-1.2484	125	875	237
"489"	-1.2871	125	1000	237
"490"	0	126	0	237
"491"	-0.2377	126	125	237
"492"	-0.3817	126	250	237
"493"	-0.6325	126	375	237
"494"	-0.8143	126	500	237
"495"	-0.9214	126	625	237
"496"	-0.985	126	750	237
"497"	-1.0439	126	875	237
"498"	-1.1164	126	1000	237
"499"	0	127	0	237
"500"	-0.1871	127	125	237
"501"	-0.3921	127	250	237
"502"	-0.6713	127	375	237
"503"	-0.7817	127	500	237
"504"	-0.9001	127	625	237
"505"	-1.0347	127	750	237
"506"	-1.117	127	875	237
"507"	-1.1392	127	1000	237
"508"	0	128	0	237
"509"	-0.369	128	125	237
"510"	-0.5695	128	250	237
"511"	-0.8742	128	375	237
"512"	-1.0156	128	500	237
"513"	-1.2178	128	625	237
"514"	-1.2694	128	750	237
"515"	-1.3338	128	875	237
"516"	-1.3505	128	1000	237
"517"	0	129	0	237
"518"	-0.2332	129	125	237
"519"	-0.4355	129	250	237
"520"	-0.6574	129	375	237
"521"	-0.7756	129	500	237
"522"	-0.9829	129	625	237
"523"	-1.0697	129	750	237
"524"	-1.1256	129	875	237
"525"	-1.178	129	1000	237
"526"	0	130	0	237
"527"	-0.3456	130	125	237
"528"	-0.5781	130	250	237
"529"	-0.7079	130	375	237
"530"	-0.7931	130	500	237
"531"	-0.8658	130	625	237
"532"	-1.0375	130	750	237
"533"	-1.0844	130	875	237
"534"	-1.149	130	1000	237
"535"	0	131	0	237
"536"	-0.3497	131	125	237
"537"	-0.6295	131	250	237
"538"	-0.7965	131	375	237
"539"	-0.994	131	500	237
"540"	-1.1455	131	625	237
"541"	-1.3547	131	750	237
"542"	-1.3836	131	875	237
"543"	-1.4189	131	1000	237
"544"	0	132	0	237
"545"	-0.4886	132	125	237
"546"	-0.61	132	250	237
"547"	-0.7507	132	375	237
"548"	-0.9813	132	500	237
"549"	-1.0855	132	625	237
"550"	-1.1434	132	750	237
"551"	-1.1988	132	875	237
"552"	-1.2631	132	1000	237
"553"	0	133	0	237
"554"	-0.2661	133	125	237
"555"	-0.4666	133	250	237
"556"	-0.5643	133	375	237
"557"	-0.7121	133	500	237
"558"	-0.7903	133	625	237
"559"	-0.8936	133	750	237
"560"	-0.9411	133	875	237
"561"	-0.9838	133	1000	237
"562"	0	134	0	237
"563"	-0.2319	134	125	237
"564"	-0.6763	134	250	237
"565"	-0.9115	134	375	237
"566"	-0.985	134	500	237
"567"	-1.0506	134	625	237
"568"	-1.1244	134	750	237
"569"	-1.1908	134	875	237
"570"	-1.227	134	1000	237
