"increase"	"unit"	"hours"
"158"	2.995	110	1000
"159"	3.835	110	1250
"160"	4.501	110	1500
"161"	5.251	110	1750
"162"	6.256	110	2000
"163"	7.051	110	2250
"164"	7.803	110	2500
"165"	8.321	110	2750
"166"	8.93	110	3000
"167"	9.554	110	3250
"168"	10.45	110	3500
"169"	11.28	110	3750
"170"	12.21	110	4000
"171"	0	111	0
"172"	0.4435	111	250
"173"	0.9978	111	500
"174"	1.5738	111	750
"175"	1.9584	111	1000
"176"	2.5093	111	1250
"177"	2.8436	111	1500
"178"	3.4682	111	1750
"179"	4.007	111	2000
"180"	4.5124	111	2250
"181"	4.8018	111	2500
"182"	5.2042	111	2750
"183"	5.6556	111	3000
"184"	6.1951	111	3250
"185"	6.5405	111	3500
"186"	6.9626	111	3750
"187"	7.4238	111	4000
"188"	0	112	0
"189"	0.3864	112	250
"190"	0.7988	112	500
"191"	1.3521	112	750
"192"	1.741	112	1000
"193"	2.979	112	1250
"194"	3.5871	112	1500
"195"	4.0315	112	1750
"196"	4.4393	112	2000
"197"	4.7906	112	2250
"198"	5.2205	112	2500
"199"	5.4848	112	2750
"200"	5.9639	112	3000
"201"	6.2276	112	3250
"202"	6.9877	112	3500
"203"	7.3671	112	3750
"204"	7.8841	112	4000
"205"	0	113	0
"206"	0.3034	113	250
"207"	0.7448	113	500
"208"	1.5225	113	750
"209"	1.8548	113	1000
"210"	2.3897	113	1250
"211"	2.9473	113	1500
"212"	3.5104	113	1750
"213"	3.9207	113	2000
"214"	5.0316	113	2250
"215"	5.4708	113	2500
"216"	5.8362	113	2750
"217"	6.4962	113	3000
"218"	6.9372	113	3250
"219"	7.3883	113	3500
"220"	7.8472	113	3750
"221"	8.087	113	4000
"222"	0	114	0
"223"	0.438	114	250
"224"	0.6979	114	500
"225"	1.0515	114	750
"226"	1.3526	114	1000
"227"	1.7998	114	1250
"228"	2.5514	114	1500
"229"	2.8274	114	1750
"230"	3.3908	114	2000
"231"	3.7159	114	2250
"232"	4.0906	114	2500
"233"	4.8296	114	2750
"234"	5.4145	114	3000
"235"	5.759	114	3250
"236"	6.1419	114	3500
"237"	6.5086	114	3750
"238"	6.8823	114	4000
"239"	0	115	0
"240"	0.5056	115	250
"241"	0.8349	115	500
"242"	1.2864	115	750
"243"	1.5191	115	1000
"244"	1.9148	115	1250
"245"	2.2697	115	1500
"246"	2.7763	115	1750
"247"	3.4153	115	2000
"248"	3.7814	115	2250
"249"	4.1053	115	2500
"250"	4.3754	115	2750
"251"	4.6295	115	3000
"252"	5.3831	115	3250
"253"	5.8391	115	3500
"254"	6.1618	115	3750
"255"	6.6247	115	4000
